 count,0,10,15,30,55,75,80,90
349,0.05,10.05,15.03,30.0,55.02,74.98,79.95,89.9,
350,0.06,10.06,15.02,30.01,55.02,74.98,79.95,89.89,
351,0.06,10.05,15.03,30.0,55.02,75.0,79.95,89.9,
352,0.07,10.06,15.03,30.0,55.04,74.97,79.95,89.9,
353,0.05,10.06,15.02,29.98,55.02,74.97,79.95,89.91,
354,0.05,10.06,15.03,30.0,55.03,74.98,79.97,89.9,
355,0.06,10.06,15.03,29.97,55.03,74.98,79.95,89.89,
356,0.07,10.07,15.02,29.98,55.06,74.95,79.97,89.9,
357,0.06,10.06,15.02,29.98,55.03,74.97,79.95,89.91,
358,0.07,10.05,15.03,29.97,55.04,74.98,79.95,89.92,
359,0.06,10.05,15.03,29.98,55.02,74.97,79.95,89.91,
360,0.05,10.06,15.03,29.98,55.03,74.97,79.95,89.9,
361,0.06,10.07,15.02,29.98,55.03,74.98,79.95,89.91,
362,0.05,10.05,15.02,29.98,55.02,74.95,79.94,89.9,
363,0.05,10.06,15.02,29.98,55.03,74.97,79.95,89.9,
364,0.06,10.05,15.02,29.98,55.03,74.95,79.95,89.9,
365,0.05,10.07,15.03,29.98,55.04,74.98,79.95,89.9,
366,0.06,10.06,15.02,29.98,55.03,74.95,79.95,89.91,
367,0.06,10.06,15.02,29.97,55.02,74.97,79.95,89.91,
368,0.07,10.06,15.02,29.98,55.02,74.95,79.95,89.9,
369,0.07,10.07,15.03,29.97,55.03,74.98,79.95,89.9,
370,0.05,10.04,15.02,29.98,55.02,74.97,79.95,89.91,
371,0.05,10.02,15.02,29.96,55.03,74.99,79.95,89.89,
372,0.06,10.06,15.05,29.98,55.02,74.97,79.93,89.89,
373,0.06,10.06,15.03,30.0,55.02,74.97,79.95,89.91,
374,0.08,10.06,15.02,29.98,55.02,74.95,79.95,89.89,
375,0.06,10.05,15.04,29.98,55.02,74.97,79.95,89.89,
376,0.07,10.06,15.03,29.98,55.03,74.95,79.93,89.9,
377,0.06,10.06,15.05,29.98,55.03,74.95,79.95,89.91,
378,0.06,10.05,15.03,30.0,55.03,74.95,79.95,89.9,
379,0.09,10.05,15.02,29.98,55.03,74.96,79.94,89.88,
380,0.08,10.07,15.06,29.98,55.02,74.98,79.95,89.92,
381,0.07,10.07,15.03,29.98,55.04,74.98,79.95,89.9,
382,0.07,10.06,15.03,29.98,55.02,74.95,79.95,89.9,
383,0.06,10.05,15.03,29.98,55.04,74.98,79.95,89.91,
384,0.05,10.05,15.05,29.99,55.04,74.98,79.95,89.91,
385,0.05,10.03,15.03,29.98,55.03,74.98,79.94,89.91,
386,0.07,10.06,15.05,29.98,55.02,74.98,79.95,89.9,
387,0.06,10.07,15.04,30.0,55.04,74.97,79.95,89.92,
388,0.06,10.06,15.05,29.98,55.04,74.97,79.97,89.91,
389,0.07,10.06,15.05,30.01,55.03,74.98,79.97,89.9,
390,0.07,10.06,15.05,29.97,55.03,74.95,79.95,89.91,
391,0.05,10.07,15.03,30.0,55.04,74.97,79.95,89.9,
392,0.06,10.06,15.03,29.98,55.03,74.95,79.95,89.91,
393,0.06,10.05,15.05,29.99,55.06,74.98,79.95,89.91,
394,0.07,10.05,15.05,29.98,55.02,74.98,79.95,89.91,
395,0.07,10.06,15.03,30.0,55.04,74.97,79.97,89.91,
396,0.06,10.05,15.03,29.98,55.03,74.95,79.97,89.91,
